prec,       card,      avg_est,      std_err,      max_err
 6,           26,        25.87,    0.0842331,     0.185185
 6,           26,        25.97,     0.104077,     0.185185
 6,           27,        26.93,    0.0961065,     0.285714
 6,           27,        26.73,     0.101882,     0.214286
 6,           27,        26.87,     0.110974,     0.214286
 6,           27,        27.30,      0.10423,     0.178571
 6,           27,        26.43,    0.0906909,     0.178571
 6,           28,        27.00,    0.0949761,     0.241379
 6,           28,        27.43,    0.0907823,     0.206897
 6,           28,        28.27,     0.110166,     0.172414
 6,           28,        28.37,     0.102252,     0.206897
 6,           28,        28.10,     0.102653,     0.241379
 6,           28,        27.20,    0.0962625,     0.206897
 6,           29,        28.40,    0.0909718,          0.2
 6,           29,        29.20,    0.0970839,          0.2
 6,           29,        28.13,     0.111073,     0.233333
 6,           29,        28.87,     0.123176,     0.233333
 6,           29,        28.80,     0.105772,          0.2
 6,           30,        29.73,     0.063394,     0.225806
 6,           30,        29.80,    0.0748172,      0.16129
 6,           30,        30.17,    0.0631104,     0.129032
 6,           30,        29.77,    0.0933775,     0.193548
 6,           30,        30.27,     0.105468,     0.258065
 6,           31,        30.67,     0.104776,         0.25
 6,           31,        30.67,    0.0898994,      0.28125
 6,           31,        31.33,    0.0820665,      0.15625
 6,           31,        30.67,    0.0906454,      0.21875
 6,           31,        31.30,    0.0846917,       0.1875
 6,           32,        33.33,     0.111979,     0.242424
 6,           32,        31.53,     0.103759,     0.181818
 6,           32,        33.10,    0.0789806,     0.181818
 6,           32,        32.07,    0.0746523,     0.121212
 6,           32,        31.40,     0.119899,     0.242424
 6,           33,        32.43,    0.0872152,     0.205882
 6,           33,        32.43,    0.0966261,     0.205882
 6,           33,        33.10,    0.0789578,     0.205882
 6,           33,        32.83,    0.0885727,     0.205882
 6,           33,        32.70,    0.0718365,     0.147059
 6,           33,        32.93,    0.0973948,     0.235294
 6,           34,        34.63,       0.0994,     0.257143
 6,           34,        33.77,    0.0914347,     0.228571
 6,           34,        34.27,     0.078336,     0.171429
 6,           34,        34.33,    0.0940151,     0.171429
 6,           34,        33.53,    0.0952052,     0.228571
 6,           35,        34.57,     0.106589,         0.25
 6,           35,        36.37,     0.098277,     0.194444
 6,           35,        34.30,     0.116831,         0.25
 6,           35,        35.63,    0.0742136,     0.194444
 6,           35,        35.00,    0.0860044,         0.25
 6,           36,        37.17,     0.102241,     0.216216
 6,           36,        36.13,    0.0996202,     0.216216
 6,           36,        35.20,     0.114885,      0.27027
 6,           36,        36.47,     0.090059,     0.162162
 6,           36,        36.87,     0.112895,     0.324324
 6,           37,        37.83,     0.074912,     0.184211
 6,           37,        37.67,     0.113347,     0.289474
 6,           37,        37.03,     0.108723,     0.184211
 6,           37,        37.23,     0.101215,     0.236842
 6,           37,        36.70,      0.10938,     0.236842
 6,           38,        37.67,    0.0973474,     0.205128
 6,           38,        39.87,     0.114274,      0.25641
 6,           38,        36.97,    0.0922045,      0.25641
 6,           38,        37.93,    0.0933044,      0.25641
 6,           38,        39.00,    0.0893321,     0.205128
 6,           38,        37.13,    0.0954662,     0.205128
 6,           39,        38.50,     0.100965,        0.225
 6,           39,        38.40,     0.106269,          0.2
 6,           39,        39.77,    0.0772647,        0.125
 6,           39,        39.57,    0.0852228,        0.225
 6,           39,        38.90,      0.10917,        0.225
 6,           40,        38.93,    0.0971395,     0.243902
 6,           40,        39.30,     0.112502,     0.243902
