prec,       card,      avg_est,      std_err,      max_err
 6,           53,        75.23,     0.423643,     0.537037
 6,           54,        75.17,     0.395803,     0.527273
 6,           54,        76.37,     0.418155,     0.509091
 6,           54,        75.53,     0.402273,     0.472727
 6,           55,        76.00,     0.386821,     0.517857
 6,           55,        77.20,     0.408096,     0.571429
 6,           56,        77.17,     0.384353,     0.508772
 6,           56,        77.17,     0.383053,     0.578947
 6,           56,        76.87,     0.379867,     0.526316
 6,           57,        78.33,     0.380794,     0.551724
 6,           57,        78.13,     0.376789,     0.534483
 6,           57,        79.33,     0.396125,     0.482759
 6,           58,        78.10,     0.354789,     0.525424
 6,           58,        78.80,     0.365015,     0.474576
 6,           59,        78.83,     0.342894,         0.45
 6,           59,        79.23,     0.350301,     0.516667
 6,           59,        79.47,      0.35015,         0.45
 6,           60,        78.70,     0.321346,     0.491803
 6,           60,        79.97,     0.339601,     0.508197
 6,           61,        80.87,     0.332009,          0.5
 6,           61,        79.80,     0.315182,     0.419355
 6,           61,        82.57,     0.361414,     0.483871
 6,           62,        81.77,     0.324083,     0.412698
 6,           62,        81.80,     0.331805,      0.52381
 6,           62,        81.77,     0.326007,     0.444444
 6,           63,        81.17,     0.296932,     0.421875
 6,           63,        82.17,     0.318305,      0.53125
 6,           64,        81.33,     0.279037,     0.415385
 6,           64,        82.10,     0.294228,     0.446154
 6,           64,        82.67,     0.301909,     0.507692
 6,           65,        85.03,     0.319547,     0.469697
 6,           65,        82.70,     0.279082,     0.378788
 6,           66,        83.63,     0.278691,     0.432836
 6,           66,        85.17,      0.29661,      0.41791
 6,           66,        84.00,     0.281666,     0.432836
 6,           67,        85.63,     0.291149,     0.441176
 6,           67,        83.07,     0.248909,     0.426471
 6,           67,        86.27,     0.296038,     0.426471
 6,           68,        85.37,     0.261161,     0.347826
 6,           68,        85.73,     0.277889,     0.492754
 6,           69,        86.40,     0.261969,     0.385714
 6,           69,        86.23,      0.26166,     0.428571
 6,           69,        86.80,     0.268286,     0.457143
 6,           70,        88.03,     0.265476,     0.450704
 6,           70,        86.17,     0.244245,     0.408451
 6,           71,        87.67,     0.244947,     0.347222
 6,           71,        88.93,     0.261903,     0.416667
 6,           71,        88.13,     0.254718,        0.375
 6,           72,        87.50,     0.224155,     0.369863
 6,           72,        89.13,     0.246129,     0.315068
 6,           72,        87.70,     0.231735,     0.342466
 6,           73,        89.23,     0.233832,     0.364865
 6,           73,        89.10,     0.235977,     0.364865
 6,           74,        91.43,     0.250486,          0.4
 6,           74,        90.17,     0.229275,     0.386667
 6,           74,        89.70,     0.225283,     0.386667
 6,           75,        89.90,     0.212797,     0.355263
 6,           75,        91.03,     0.223016,     0.368421
 6,           76,        92.00,     0.227538,     0.350649
 6,           76,        93.37,     0.244599,     0.415584
 6,           76,        91.73,     0.220001,      0.38961
 6,           77,        92.53,     0.223356,     0.410256
 6,           77,        92.17,      0.20805,     0.320513
 6,           77,        93.33,     0.223356,     0.384615
 6,           78,        93.47,     0.218338,      0.43038
 6,           78,        93.67,     0.218009,     0.468354
 6,           79,        94.03,     0.210667,       0.4375
 6,           79,        92.50,     0.183932,        0.325
 6,           79,        95.87,     0.231049,       0.4375
 6,           80,        92.97,     0.177535,     0.320988
 6,           80,        96.43,     0.219665,     0.395062
 6,           81,        97.47,     0.218364,     0.365854
 6,           81,        96.30,     0.208378,     0.365854
 6,           81,        97.90,     0.226424,     0.414634
 6,           82,        96.23,     0.189299,     0.361446
 6,           82,        94.80,     0.176193,     0.373494
 6,           82,        96.17,     0.185614,     0.349398
 6,           83,        96.57,     0.177501,     0.345238
 6,           83,        97.30,     0.184415,      0.27381
 6,           84,        98.73,     0.197176,          0.4
 6,           84,        99.40,     0.203888,     0.317647
 6,           84,        97.63,     0.178755,     0.376471
 6,           85,        98.47,      0.18276,     0.395349
 6,           85,       100.77,      0.19878,     0.372093
 6,           86,        99.27,     0.168525,     0.252874
